,word_acc,char_acc,Time
Lyrics_5hidden,0.7129451395572666,0.5661458742246996,0:28:19
Lyrics_20hidden,0.8634408602150537,0.7557812781974271,0:28:24
Lyrics_50hidden,0.9214506559705857,0.8515984067000306,0:26:41
Lyrics_100hidden,0.9555537024683122,0.9146691017933694,0:26:36
Lyrics_200hidden,0.9633856005254084,0.9225382708477089,0:28:27
